### seed:53 ###

=== [Phase 1] Probe Start (0.3s) ===
Probe Result : Failed (Time out or Dead End)
Difficulty   : HARD
====================================

=== [Phase 2] Main Search Start ===
Trial 1 | Beam: 46 | Noise: 1064 | Pen: 2 | Trn: 89 | Bte: 204 | Grb: 61 | Time: 43ms | Nodes: 27419 | Result: Failed [Early Stopped (Stuck)] (Turn: 47, Matched: 24/192, Garbage: 0)
Trial 2 | Beam: 23 | Noise: 504 | Pen: 2 | Trn: 141 | Bte: 104 | Grb: 61 | Time: 164ms | Nodes: 109076 | Result: 6604 moves  <-- Best Updated!
Trial 3 | Beam: 32 | Noise: 1916 | Pen: 2 | Trn: 147 | Bte: 94 | Grb: 31 | Time: 59ms | Nodes: 34374 | Result: Failed [Early Stopped (Stuck)] (Turn: 991, Matched: 34/192, Garbage: 0)
Trial 4 | Beam: 43 | Noise: 745 | Pen: 1 | Trn: 50 | Bte: 149 | Grb: 98 | Time: 39ms | Nodes: 14320 | Result: Failed [Early Stopped (Stuck)] (Turn: 43, Matched: 23/192, Garbage: 0)
Trial 5 | Beam: 12 | Noise: 1818 | Pen: 3 | Trn: 133 | Bte: 64 | Grb: 28 | Time: 31ms | Nodes: 7114 | Result: Failed [Early Stopped (Stuck)] (Turn: 36, Matched: 18/192, Garbage: 3)
Trial 6 | Beam: 11 | Noise: 692 | Pen: 2 | Trn: 89 | Bte: 260 | Grb: 7 | Time: 10ms | Nodes: 3837 | Result: Failed [Early Stopped (Stuck)] (Turn: 201, Matched: 23/192, Garbage: 0)
Trial 7 | Beam: 48 | Noise: 1617 | Pen: 3 | Trn: 249 | Bte: 258 | Grb: 74 | Time: 45ms | Nodes: 29312 | Result: Failed [Early Stopped (Stuck)] (Turn: 45, Matched: 24/192, Garbage: 0)
Trial 8 | Beam: 18 | Noise: 1704 | Pen: 2 | Trn: 130 | Bte: 72 | Grb: 80 | Time: 23ms | Nodes: 10043 | Result: Failed [Early Stopped (Stuck)] (Turn: 35, Matched: 20/192, Garbage: 0)
Trial 9 | Beam: 14 | Noise: 953 | Pen: 1 | Trn: 201 | Bte: 208 | Grb: 40 | Time: 89ms | Nodes: 59550 | Result: Failed [Early Stopped (Stuck)] (Turn: 4507, Matched: 131/192, Garbage: 0)
Trial 10 | Beam: 43 | Noise: 761 | Pen: 1 | Trn: 101 | Bte: 305 | Grb: 38 | Time: 41ms | Nodes: 31371 | Result: Failed [Early Stopped (Stuck)] (Turn: 45, Matched: 24/192, Garbage: 0)
Trial 11 | Beam: 49 | Noise: 1440 | Pen: 1 | Trn: 294 | Bte: 72 | Grb: 42 | Time: 49ms | Nodes: 33695 | Result: Failed [Early Stopped (Stuck)] (Turn: 81, Matched: 24/192, Garbage: 0)
Trial 12 | Beam: 37 | Noise: 1696 | Pen: 3 | Trn: 216 | Bte: 281 | Grb: 50 | Time: 264ms | Nodes: 177829 | Result: 5958 moves  <-- Best Updated!
Trial 13 | Beam: 24 | Noise: 631 | Pen: 3 | Trn: 107 | Bte: 187 | Grb: 73 | Time: 46ms | Nodes: 15932 | Result: Failed [Early Stopped (Stuck)] (Turn: 762, Matched: 23/192, Garbage: 0)
Trial 14 | Beam: 12 | Noise: 1784 | Pen: 2 | Trn: 107 | Bte: 160 | Grb: 15 | Time: 15ms | Nodes: 13734 | Result: Failed [Early Stopped (Stuck)] (Turn: 481, Matched: 24/192, Garbage: 4)
Trial 15 | Beam: 21 | Noise: 1812 | Pen: 1 | Trn: 61 | Bte: 390 | Grb: 83 | Time: 17ms | Nodes: 9134 | Result: Failed [Early Stopped (Stuck)] (Turn: 45, Matched: 24/192, Garbage: 0)
Trial 16 | Beam: 21 | Noise: 1711 | Pen: 2 | Trn: 210 | Bte: 154 | Grb: 15 | Time: 168ms | Nodes: 116290 | Result: 6774 moves
Trial 17 | Beam: 11 | Noise: 1980 | Pen: 2 | Trn: 92 | Bte: 188 | Grb: 42 | Time: 15ms | Nodes: 6356 | Result: Failed [Early Stopped (Stuck)] (Turn: 357, Matched: 23/192, Garbage: 0)
Trial 18 | Beam: 29 | Noise: 594 | Pen: 3 | Trn: 287 | Bte: 446 | Grb: 77 | Time: 26ms | Nodes: 20226 | Result: Failed [Early Stopped (Stuck)] (Turn: 49, Matched: 24/192, Garbage: 0)
Trial 19 | Beam: 38 | Noise: 1172 | Pen: 1 | Trn: 29 | Bte: 305 | Grb: 20 | Time: 36ms | Nodes: 22600 | Result: Failed [Early Stopped (Stuck)] (Turn: 86, Matched: 24/192, Garbage: 4)
Trial 20 | Beam: 42 | Noise: 1318 | Pen: 1 | Trn: 20 | Bte: 180 | Grb: 68 | Time: 80ms | Nodes: 47229 | Result: Failed [Early Stopped (Stuck)] (Turn: 714, Matched: 34/192, Garbage: 0)
Trial 21 | Beam: 34 | Noise: 1633 | Pen: 1 | Trn: 234 | Bte: 460 | Grb: 81 | Time: 49ms | Nodes: 28386 | Result: Failed [Early Stopped (Stuck)] (Turn: 485, Matched: 24/192, Garbage: 0)
Trial 22 | Beam: 30 | Noise: 952 | Pen: 1 | Trn: 265 | Bte: 203 | Grb: 42 | Time: 72ms | Nodes: 34984 | Result: Failed [Early Stopped (Stuck)] (Turn: 666, Matched: 48/192, Garbage: 0)
Trial 23 | Beam: 27 | Noise: 1868 | Pen: 2 | Trn: 256 | Bte: 31 | Grb: 23 | Time: 25ms | Nodes: 14096 | Result: Failed [Early Stopped (Stuck)] (Turn: 45, Matched: 24/192, Garbage: 0)
Trial 24 | Beam: 22 | Noise: 1103 | Pen: 3 | Trn: 134 | Bte: 409 | Grb: 62 | Time: 28ms | Nodes: 9465 | Result: Failed [Early Stopped (Stuck)] (Turn: 391, Matched: 23/192, Garbage: 0)
Trial 25 | Beam: 40 | Noise: 1801 | Pen: 3 | Trn: 200 | Bte: 244 | Grb: 82 | Time: 37ms | Nodes: 25764 | Result: Failed [Early Stopped (Stuck)] (Turn: 43, Matched: 24/192, Garbage: 0)
Trial 26 | Beam: 38 | Noise: 996 | Pen: 1 | Trn: 288 | Bte: 496 | Grb: 48 | Time: 34ms | Nodes: 22449 | Result: Failed [Early Stopped (Stuck)] (Turn: 43, Matched: 24/192, Garbage: 0)
Trial 27 | Beam: 38 | Noise: 574 | Pen: 1 | Trn: 298 | Bte: 287 | Grb: 25 | Time: 35ms | Nodes: 22166 | Result: Failed [Early Stopped (Stuck)] (Turn: 47, Matched: 24/192, Garbage: 0)
Trial 28 | Beam: 11 | Noise: 1911 | Pen: 1 | Trn: 13 | Bte: 448 | Grb: 78 | Time: 22ms | Nodes: 11322 | Result: Failed [Early Stopped (Stuck)] (Turn: 533, Matched: 24/192, Garbage: 0)
Trial 29 | Beam: 27 | Noise: 894 | Pen: 1 | Trn: 245 | Bte: 77 | Grb: 45 | Time: 66ms | Nodes: 29647 | Result: Failed [Early Stopped (Stuck)] (Turn: 1075, Matched: 24/192, Garbage: 0)
Trial 30 | Beam: 36 | Noise: 1558 | Pen: 3 | Trn: 99 | Bte: 320 | Grb: 37 | Time: 196ms | Nodes: 132894 | Result: 4370 moves  <-- Best Updated!
