=== AHC 066 Comparison Report ===
Code A: temp.cpp
Code B: A_submit.cpp
------------------------------------------------------------
【ケース別結果】
Case 0000.txt | A:    272 [完走] (0.60s) | B:    272 [完走] (0.58s) | 引き分け (差: 0)
Case 0001.txt | A:    142 [完走] (0.29s) | B:    142 [完走] (0.29s) | 引き分け (差: 0)
Case 0002.txt | A:    321 [完走] (0.59s) | B:    321 [完走] (0.59s) | 引き分け (差: 0)
Case 0003.txt | A:    112 [完走] (0.25s) | B:    112 [完走] (0.25s) | 引き分け (差: 0)
Case 0004.txt | A:    191 [完走] (0.38s) | B:    191 [完走] (0.38s) | 引き分け (差: 0)
Case 0005.txt | A:    195 [完走] (0.40s) | B:    195 [完走] (0.40s) | 引き分け (差: 0)
Case 0006.txt | A:    191 [完走] (0.39s) | B:    191 [完走] (0.39s) | 引き分け (差: 0)
Case 0007.txt | A:    103 [完走] (0.22s) | B:    103 [完走] (0.22s) | 引き分け (差: 0)
Case 0008.txt | A:    105 [完走] (0.20s) | B:    105 [完走] (0.21s) | 引き分け (差: 0)
Case 0009.txt | A:     73 [完走] (0.16s) | B:     73 [完走] (0.16s) | 引き分け (差: 0)
Case 0010.txt | A:     76 [完走] (0.19s) | B:     76 [完走] (0.16s) | 引き分け (差: 0)
Case 0011.txt | A:    153 [完走] (0.31s) | B:    153 [完走] (0.32s) | 引き分け (差: 0)
Case 0012.txt | A:    245 [完走] (0.48s) | B:    245 [完走] (0.48s) | 引き分け (差: 0)
Case 0013.txt | A:    133 [完走] (0.31s) | B:    133 [完走] (0.31s) | 引き分け (差: 0)
Case 0014.txt | A:    389 [完走] (0.71s) | B:    389 [完走] (0.72s) | 引き分け (差: 0)
Case 0015.txt | A:    549 [代替] (0.65s) | B:    708 [代替] (0.62s) | A 勝利 (差: 159)
Case 0016.txt | A:    276 [完走] (0.59s) | B:    276 [完走] (0.63s) | 引き分け (差: 0)
Case 0017.txt | A:    113 [完走] (0.24s) | B:    113 [完走] (0.24s) | 引き分け (差: 0)
Case 0018.txt | A:    113 [完走] (0.26s) | B:    113 [完走] (0.29s) | 引き分け (差: 0)
Case 0019.txt | A:    297 [完走] (0.68s) | B:    297 [完走] (0.71s) | 引き分け (差: 0)
Case 0020.txt | A:    113 [完走] (0.30s) | B:    113 [完走] (0.25s) | 引き分け (差: 0)
Case 0021.txt | A:    118 [完走] (0.27s) | B:    118 [完走] (0.26s) | 引き分け (差: 0)
Case 0022.txt | A:     99 [完走] (0.21s) | B:     99 [完走] (0.22s) | 引き分け (差: 0)
Case 0023.txt | A:     81 [完走] (0.19s) | B:     81 [完走] (0.18s) | 引き分け (差: 0)
Case 0024.txt | A:    210 [完走] (0.49s) | B:    210 [完走] (0.48s) | 引き分け (差: 0)
Case 0025.txt | A:     68 [完走] (0.18s) | B:     68 [完走] (0.19s) | 引き分け (差: 0)
Case 0026.txt | A:    213 [完走] (0.51s) | B:    213 [完走] (0.55s) | 引き分け (差: 0)
Case 0027.txt | A:    265 [完走] (0.62s) | B:    265 [完走] (0.64s) | 引き分け (差: 0)
Case 0028.txt | A:    237 [完走] (0.61s) | B:    237 [完走] (0.53s) | 引き分け (差: 0)
Case 0029.txt | A:    302 [完走] (0.83s) | B:    302 [完走] (0.67s) | 引き分け (差: 0)
Case 0030.txt | A:    119 [完走] (0.25s) | B:    119 [完走] (0.26s) | 引き分け (差: 0)
Case 0031.txt | A:    115 [完走] (0.25s) | B:    115 [完走] (0.25s) | 引き分け (差: 0)
Case 0032.txt | A:  1,052 [代替] (1.06s) | B:  1,359 [代替] (1.10s) | A 勝利 (差: 307)
Case 0033.txt | A:    227 [完走] (0.50s) | B:    227 [完走] (0.48s) | 引き分け (差: 0)
Case 0034.txt | A:    357 [完走] (0.77s) | B:    357 [完走] (0.78s) | 引き分け (差: 0)
Case 0035.txt | A:    101 [完走] (0.21s) | B:    101 [完走] (0.21s) | 引き分け (差: 0)
Case 0036.txt | A:    219 [完走] (0.44s) | B:    219 [完走] (0.44s) | 引き分け (差: 0)
Case 0037.txt | A:     55 [完走] (0.13s) | B:     55 [完走] (0.12s) | 引き分け (差: 0)
Case 0038.txt | A:    113 [完走] (0.25s) | B:    113 [完走] (0.24s) | 引き分け (差: 0)
Case 0039.txt | A:    113 [完走] (0.25s) | B:    113 [完走] (0.25s) | 引き分け (差: 0)
Case 0040.txt | A:    174 [完走] (0.36s) | B:    174 [完走] (0.35s) | 引き分け (差: 0)
Case 0041.txt | A:    176 [完走] (0.36s) | B:    176 [完走] (0.35s) | 引き分け (差: 0)
Case 0042.txt | A:    177 [完走] (0.35s) | B:    177 [完走] (0.35s) | 引き分け (差: 0)
Case 0043.txt | A:    278 [完走] (0.58s) | B:    278 [完走] (0.59s) | 引き分け (差: 0)
Case 0044.txt | A:    148 [完走] (0.33s) | B:    148 [完走] (0.31s) | 引き分け (差: 0)
Case 0045.txt | A:    184 [完走] (0.43s) | B:    184 [完走] (0.42s) | 引き分け (差: 0)
Case 0046.txt | A:    146 [完走] (0.29s) | B:    146 [完走] (0.30s) | 引き分け (差: 0)
Case 0047.txt | A:    201 [完走] (0.42s) | B:    201 [完走] (0.43s) | 引き分け (差: 0)
Case 0048.txt | A:     98 [完走] (0.21s) | B:     98 [完走] (0.21s) | 引き分け (差: 0)
Case 0049.txt | A:    206 [完走] (0.44s) | B:    206 [完走] (0.43s) | 引き分け (差: 0)
Case 0050.txt | A:    165 [完走] (0.34s) | B:    165 [完走] (0.34s) | 引き分け (差: 0)
Case 0051.txt | A:    217 [完走] (0.45s) | B:    217 [完走] (0.45s) | 引き分け (差: 0)
Case 0052.txt | A:    101 [完走] (0.22s) | B:    101 [完走] (0.22s) | 引き分け (差: 0)
Case 0053.txt | A:    100 [完走] (0.22s) | B:    100 [完走] (0.21s) | 引き分け (差: 0)
Case 0054.txt | A:    148 [完走] (0.33s) | B:    148 [完走] (0.31s) | 引き分け (差: 0)
Case 0055.txt | A:    398 [完走] (0.79s) | B:    398 [完走] (0.84s) | 引き分け (差: 0)
Case 0056.txt | A:    195 [完走] (0.43s) | B:    195 [完走] (0.46s) | 引き分け (差: 0)
Case 0057.txt | A:    243 [完走] (0.56s) | B:    243 [完走] (0.55s) | 引き分け (差: 0)
Case 0058.txt | A:    171 [完走] (0.33s) | B:    171 [完走] (0.39s) | 引き分け (差: 0)
Case 0059.txt | A:    238 [完走] (0.57s) | B:    238 [完走] (0.54s) | 引き分け (差: 0)
Case 0060.txt | A:    464 [完走] (0.95s) | B:    464 [完走] (0.94s) | 引き分け (差: 0)
Case 0061.txt | A:    193 [完走] (0.44s) | B:    193 [完走] (0.43s) | 引き分け (差: 0)
Case 0062.txt | A:    267 [完走] (0.57s) | B:    267 [完走] (0.57s) | 引き分け (差: 0)
Case 0063.txt | A:    545 [完走] (1.08s) | B:    545 [完走] (1.05s) | 引き分け (差: 0)
Case 0064.txt | A:    203 [完走] (0.42s) | B:    203 [完走] (0.42s) | 引き分け (差: 0)
Case 0065.txt | A:     98 [完走] (0.24s) | B:     98 [完走] (0.22s) | 引き分け (差: 0)
Case 0066.txt | A:    223 [完走] (0.49s) | B:    223 [完走] (0.49s) | 引き分け (差: 0)
Case 0067.txt | A:    201 [完走] (0.41s) | B:    201 [完走] (0.48s) | 引き分け (差: 0)
Case 0068.txt | A:    289 [完走] (0.60s) | B:    289 [完走] (0.61s) | 引き分け (差: 0)
